Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"17031010100","14000US17031010100","Census Tract 101","Census Tract 101, Cook County, Illinois","il","140","00","ACSSF","0005860",,,,,"17","031",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599,2148,2078,0,46,0,172,155,46.71,45.18,0,1,0,3.74,3.37
"17031010201","14000US17031010201","Census Tract 102.01","Census Tract 102.01, Cook County, Illinois","il","140","00","ACSSF","0005861",,,,,"17","031",,,,"010201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7455,3459,2520,15,301,0,561,599,46.4,33.8,0.2,4.04,0,7.53,8.03
"17031010202","14000US17031010202","Census Tract 102.02","Census Tract 102.02, Cook County, Illinois","il","140","00","ACSSF","0005862",,,,,"17","031",,,,"010202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896,1351,982,35,155,0,333,40,46.65,33.91,1.21,5.35,0,11.5,1.38
"17031010300","14000US17031010300","Census Tract 103","Census Tract 103, Cook County, Illinois","il","140","00","ACSSF","0005863",,,,,"17","031",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6485,3866,2007,6,66,7,258,275,59.61,30.95,0.09,1.02,0.11,3.98,4.24
"17031010400","14000US17031010400","Census Tract 104","Census Tract 104, Cook County, Illinois","il","140","00","ACSSF","0005864",,,,,"17","031",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213,3691,1111,0,241,0,75,95,70.8,21.31,0,4.62,0,1.44,1.82
"17031010501","14000US17031010501","Census Tract 105.01","Census Tract 105.01, Cook County, Illinois","il","140","00","ACSSF","0005865",,,,,"17","031",,,,"010501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4102,2037,1388,0,256,0,280,141,49.66,33.84,0,6.24,0,6.83,3.44
"17031010502","14000US17031010502","Census Tract 105.02","Census Tract 105.02, Cook County, Illinois","il","140","00","ACSSF","0005866",,,,,"17","031",,,,"010502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3089,1728,876,10,262,0,120,93,55.94,28.36,0.32,8.48,0,3.88,3.01
"17031010503","14000US17031010503","Census Tract 105.03","Census Tract 105.03, Cook County, Illinois","il","140","00","ACSSF","0005867",,,,,"17","031",,,,"010503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806,1250,255,0,225,0,8,68,69.21,14.12,0,12.46,0,0.44,3.77
"17031010600","14000US17031010600","Census Tract 106","Census Tract 106, Cook County, Illinois","il","140","00","ACSSF","0005868",,,,,"17","031",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6395,3909,1139,0,204,0,940,203,61.13,17.81,0,3.19,0,14.7,3.17
"17031010701","14000US17031010701","Census Tract 107.01","Census Tract 107.01, Cook County, Illinois","il","140","00","ACSSF","0005869",,,,,"17","031",,,,"010701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3620,2065,849,0,310,0,236,160,57.04,23.45,0,8.56,0,6.52,4.42
