Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008
"36061000100","14000US36061000100","Census Tract 1","Census Tract 1, New York County, New York","ny","140","00","ACSSF","0005780",,,,,"36","061",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
"36061000201","14000US36061000201","Census Tract 2.01","Census Tract 2.01, New York County, New York","ny","140","00","ACSSF","0005781",,,,,"36","061",,,,"000201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,458,412,0,1194,0,532,154,16.65,14.98,0,43.42,0,19.35,5.6
"36061000202","14000US36061000202","Census Tract 2.02","Census Tract 2.02, New York County, New York","ny","140","00","ACSSF","0005782",,,,,"36","061",,,,"000202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7773,3205,1668,87,1579,0,914,320,41.23,21.46,1.12,20.31,0,11.76,4.12
"36061000500","14000US36061000500","Census Tract 5","Census Tract 5, New York County, New York","ny","140","00","ACSSF","0005783",,,,,"36","061",,,,"000500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
"36061000600","14000US36061000600","Census Tract 6","Census Tract 6, New York County, New York","ny","140","00","ACSSF","0005784",,,,,"36","061",,,,"000600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9838,1083,715,131,5860,0,1506,543,11.01,7.27,1.33,59.56,0,15.31,5.52
"36061000700","14000US36061000700","Census Tract 7","Census Tract 7, New York County, New York","ny","140","00","ACSSF","0005785",,,,,"36","061",,,,"000700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8501,6470,72,0,1623,0,153,183,76.11,0.85,0,19.09,0,1.8,2.15
"36061000800","14000US36061000800","Census Tract 8","Census Tract 8, New York County, New York","ny","140","00","ACSSF","0005786",,,,,"36","061",,,,"000800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9315,1024,8,66,7994,22,28,173,10.99,0.09,0.71,85.82,0.24,0.3,1.86
"36061000900","14000US36061000900","Census Tract 9","Census Tract 9, New York County, New York","ny","140","00","ACSSF","0005787",,,,,"36","061",,,,"000900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796,1226,88,0,328,17,64,73,68.26,4.9,0,18.26,0.95,3.56,4.06
"36061001001","14000US36061001001","Census Tract 10.01","Census Tract 10.01, New York County, New York","ny","140","00","ACSSF","0005788",,,,,"36","061",,,,"001001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546,1214,29,0,176,0,57,70,78.53,1.88,0,11.38,0,3.69,4.53
"36061001002","14000US36061001002","Census Tract 10.02","Census Tract 10.02, New York County, New York","ny","140","00","ACSSF","0005789",,,,,"36","061",,,,"001002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5157,1077,1069,0,988,0,1892,131,20.88,20.73,0,19.16,0,36.69,2.54
